,GEOID,CD
628,1500000US280490003012,04
629,1500000US280490003021,04
630,1500000US280490003022,04
631,1500000US280490003024,04
632,1500000US280490004001,04
633,1500000US280490004003,04
634,1500000US280490005001,01
635,1500000US280490005002,04
636,1500000US280490005003,04
637,1500000US280490005005,01
638,1500000US280490006001,01
639,1500000US280490006002,01
640,1500000US280490006004,01
641,1500000US280490007001,01
642,1500000US280490007002,01
643,1500000US280490007003,01
644,1500000US280490007005,01
645,1500000US280490008001,01
646,1500000US280470032062,02
647,1500000US280470032063,02
648,1500000US280470032072,02
649,1500000US280470032073,02
650,1500000US280470032081,02
651,1500000US280470032082,02
652,1500000US280470033011,02
653,1500000US280470033012,02
654,1500000US280470033013,02
655,1500000US280470033015,02
656,1500000US280470033016,02
657,1500000US280470033031,02
658,1500000US280470033032,02
659,1500000US280470033033,02
660,1500000US280470033041,02
661,1500000US280470033042,02
662,1500000US280470034021,02
663,1500000US280470034022,02
664,1500000US280470034023,02
665,1500000US280470034031,02
666,1500000US280470034042,02
667,1500000US280470034043,02
668,1500000US280470034044,02
669,1500000US280470035011,02
670,1500000US280470035012,02
671,1500000US280470035014,02
672,1500000US280470035022,02
673,1500000US280470035023,02
674,1500000US280470035041,02
675,1500000US280470035043,02
676,1500000US280470035052,02
677,1500000US280470035053,02
678,1500000US280470036002,02
679,1500000US280490027002,04
680,1500000US280490030002,04
681,1500000US280490030003,04
682,1500000US280490032001,04
683,1500000US280490032002,04
684,1500000US280490033002,04
685,1500000US280490033003,04
686,1500000US280490033004,04
687,1500000US280490033006,04
688,1500000US280490034001,04
689,1500000US280490035001,04
690,1500000US280490035002,04
691,1500000US280490035004,00
692,1500000US280490036001,04
693,1500000US280490036002,04
694,1500000US280490037001,04
695,1500000US280490037003,04
696,1500000US280490038001,04
697,1500000US280490038002,04
698,1500000US280490101012,04
699,1500000US280490101013,04
700,1500000US280490101014,00
701,1500000US280490101021,04
702,1500000US280490101022,04
703,1500000US280490101024,04
704,1500000US280490101025,04
705,1500000US280490102011,04
706,1500000US280490102021,01
707,1500000US280490102022,01
708,1500000US280490102023,01
709,1500000US280490102025,01
710,1500000US280490102031,01
711,1500000US280010003001,01
712,1500000US280010003003,01
