,GEOID,CD
567,1500000US280470032053,04
568,1500000US280470032061,04
569,1500000US280470014003,04
570,1500000US280470014004,04
571,1500000US280470015011,04
572,1500000US280470015021,04
573,1500000US280470015022,04
574,1500000US280470015023,04
575,1500000US280470016001,04
576,1500000US280470016003,04
577,1500000US280470016004,04
578,1500000US280470017001,04
579,1500000US280470017003,04
580,1500000US280470017004,04
581,1500000US280470017005,04
582,1500000US280470018002,04
583,1500000US280470018003,04
584,1500000US280470019001,04
585,1500000US280470019002,04
586,1500000US280470020001,04
587,1500000US280470020002,04
588,1500000US280470020003,04
589,1500000US280470023002,04
590,1500000US280470023003,04
591,1500000US280470024001,04
592,1500000US280470024002,04
593,1500000US280470025001,04
594,1500000US280470026001,04
595,1500000US280470026003,04
596,1500000US280450302001,04
597,1500000US280450302003,04
598,1500000US280450302004,04
599,1500000US280450302005,04
600,1500000US280450303001,04
601,1500000US280450303002,04
602,1500000US280450303003,04
603,1500000US280450303004,04
604,1500000US280450303005,04
605,1500000US280450303007,04
606,1500000US280450303008,04
607,1500000US280450304001,04
608,1500000US280450304002,04
609,1500000US280450304003,04
610,1500000US280450305002,04
611,1500000US280450305003,04
612,1500000US280470037001,04
613,1500000US280470037002,04
614,1500000US280470038001,04
615,1500000US280470038002,04
616,1500000US280470039002,04
617,1500000US280470039003,04
618,1500000US280470039004,04
619,1500000US280470039005,04
620,1500000US280479800001,04
621,1500000US280490001001,01
622,1500000US280490001002,01
623,1500000US280490001004,01
624,1500000US280490002001,01
625,1500000US280490002002,01
626,1500000US280490002004,01
627,1500000US280490002005,01
628,1500000US280490003012,01
629,1500000US280490003021,01
630,1500000US280490003022,01
631,1500000US280490003024,01
632,1500000US280490004001,01
633,1500000US280490004003,01
634,1500000US280490005001,01
635,1500000US280490005002,01
636,1500000US280490005003,01
637,1500000US280490005005,01
638,1500000US280490006001,01
639,1500000US280490006002,01
640,1500000US280490006004,01
641,1500000US280490007001,01
642,1500000US280490007002,01
643,1500000US280490007003,01
644,1500000US280490007005,01
645,1500000US280490008001,01
646,1500000US280470032062,04
647,1500000US280470032063,04
648,1500000US280470032072,04
649,1500000US280470032073,04
650,1500000US280470032081,04
651,1500000US280470032082,04
652,1500000US280470033011,04
653,1500000US280470033012,04
654,1500000US280470033013,04
655,1500000US280470033015,04
656,1500000US280470033016,04
657,1500000US280470033031,04
658,1500000US280470033032,04
659,1500000US280470033033,04
660,1500000US280470033041,04
661,1500000US280470033042,04
662,1500000US280470034021,04
663,1500000US280470034022,04
664,1500000US280470034023,04
665,1500000US280470034031,04
666,1500000US280470034042,04
667,1500000US280470034043,04
668,1500000US280470034044,04
669,1500000US280470035011,04
670,1500000US280470035012,04
671,1500000US280470035014,04
672,1500000US280470035022,04
673,1500000US280470035023,04
674,1500000US280470035041,04
675,1500000US280470035043,04
676,1500000US280470035052,04
677,1500000US280470035053,04
678,1500000US280470036002,00
679,1500000US280490027002,01
680,1500000US280490030002,01
681,1500000US280490030003,01
682,1500000US280490032001,01
683,1500000US280490032002,01
684,1500000US280490033002,01
685,1500000US280490033003,01
686,1500000US280490033004,01
687,1500000US280490033006,01
688,1500000US280490034001,01
689,1500000US280490035001,01
690,1500000US280490035002,01
691,1500000US280490035004,01
692,1500000US280490036001,01
693,1500000US280490036002,01
694,1500000US280490037001,01
695,1500000US280490037003,01
696,1500000US280490038001,01
697,1500000US280490038002,01
698,1500000US280490101012,01
699,1500000US280490101013,01
700,1500000US280490101014,01
701,1500000US280490101021,01
702,1500000US280490101022,01
703,1500000US280490101024,01
704,1500000US280490101025,01
705,1500000US280490102011,01
706,1500000US280490102021,01
707,1500000US280490102022,01
708,1500000US280490102023,01
709,1500000US280490102025,01
710,1500000US280490102031,01
711,1500000US280010003001,01
712,1500000US280010003003,01
713,1500000US280010004001,01
714,1500000US280010004002,01
715,1500000US280010004003,01
716,1500000US280010005001,01
717,1500000US280010005003,01
718,1500000US280010005004,01
719,1500000US280010005005,01
720,1500000US280010006001,01
721,1500000US280010006002,01
722,1500000US280010006003,01
723,1500000US280010007002,01
724,1500000US280010008001,01
725,1500000US280010008002,01
726,1500000US280010008003,01
727,1500000US280010009001,01
728,1500000US280010009002,01
729,1500000US280490102032,01
730,1500000US280490103011,01
731,1500000US280490103012,01
732,1500000US280490103041,01
733,1500000US280490103043,01
734,1500000US280490103051,01
735,1500000US280490103052,01
736,1500000US280490104001,01
737,1500000US280010001002,01
738,1500000US280010001003,01
739,1500000US280010001004,01
740,1500000US280010002001,01
741,1500000US280010002002,01
742,1500000US280490008002,01
